date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
04/11/2024,1,2,5,6,7,9,12,12,14,15,17,21,21,22,22,35,41,45,63,65,66,68,74,78,81,86,98
03/11/2024,1,5,9,11,18,18,23,26,35,36,40,52,52,55,57,61,63,64,67,69,71,72,72,75,75,92,93
02/11/2024,4,13,14,18,22,25,28,29,34,34,39,43,46,46,48,58,58,64,67,70,77,81,89,92,92,93,94
01/11/2024,3,9,9,18,22,24,25,25,26,30,34,39,43,53,54,54,59,66,75,79,87,88,89,93,94,97,97
31/10/2024,0,13,16,16,18,18,22,23,24,31,32,32,35,37,38,46,53,53,54,56,63,65,66,73,75,91,98
30/10/2024,1,6,16,19,23,28,29,40,40,41,42,44,49,54,56,63,63,66,68,72,77,78,78,81,88,92,97
29/10/2024,10,19,19,23,43,44,47,47,48,52,58,59,61,67,72,72,72,73,77,79,81,85,86,87,91,92,97
28/10/2024,0,5,10,12,18,19,21,25,27,27,27,36,39,40,41,46,48,51,52,60,64,73,77,84,85,88,96
27/10/2024,0,5,11,19,22,24,25,28,30,31,45,55,56,62,62,62,63,65,72,72,72,74,75,79,83,87,92
26/10/2024,2,7,7,10,13,20,20,20,26,26,28,35,37,42,45,51,58,62,64,64,65,76,80,84,87,90,97
25/10/2024,2,5,10,12,16,16,19,19,20,23,30,31,32,34,35,36,43,48,51,53,71,72,75,80,85,88,92
24/10/2024,3,15,22,27,36,37,39,42,47,47,47,55,55,58,58,58,63,64,73,75,78,80,84,88,96,98,99
23/10/2024,0,7,14,18,21,22,24,30,41,46,50,53,55,57,66,70,78,79,83,85,90,91,92,94,95,98,99
22/10/2024,1,5,10,12,18,22,23,29,31,38,39,39,40,43,53,59,59,66,76,78,78,85,89,90,92,96,99
21/10/2024,0,1,3,5,5,9,15,25,26,27,29,36,38,43,44,45,46,47,50,52,55,57,60,65,69,83,84
20/10/2024,3,5,16,16,16,23,27,36,38,39,40,40,45,51,56,57,64,69,75,78,78,79,82,86,95,95,96
19/10/2024,1,1,3,10,13,13,30,35,38,43,49,49,53,54,58,62,65,67,78,78,78,80,81,85,92,93,98
18/10/2024,2,8,8,14,16,16,20,24,26,28,29,34,35,37,37,39,40,51,66,68,68,72,73,75,84,84,92
17/10/2024,3,8,9,23,25,27,30,32,35,36,39,39,50,50,52,53,54,66,71,77,82,84,87,90,94,94,96
16/10/2024,10,15,15,19,26,26,26,28,33,38,45,51,53,55,55,61,62,68,71,78,81,82,86,97,97,97,99
15/10/2024,0,0,3,4,5,16,17,31,33,38,39,42,47,61,62,64,64,69,70,72,79,80,84,89,94,97,98
14/10/2024,1,3,12,18,25,26,29,36,42,50,50,55,55,56,56,64,65,70,70,75,82,84,86,89,94,98,99
13/10/2024,0,7,7,10,10,17,22,31,38,39,44,47,48,53,53,53,59,61,64,70,71,75,81,82,86,88,90
12/10/2024,0,21,27,33,35,35,36,36,38,41,43,47,50,52,53,54,57,63,63,75,77,80,82,82,83,84,97
11/10/2024,0,4,13,15,18,28,31,35,36,37,39,45,54,56,56,60,61,69,74,74,82,82,84,89,95,96,99
10/10/2024,3,11,17,30,32,33,36,39,44,45,51,52,52,55,55,63,65,65,69,69,69,73,77,78,87,88,97
09/10/2024,8,16,18,19,21,24,25,29,30,30,31,33,33,42,43,45,53,54,59,59,76,79,83,85,91,95,98
08/10/2024,2,14,19,20,24,31,35,39,41,41,45,57,63,68,71,71,74,74,76,80,81,81,91,94,95,96,99
07/10/2024,4,8,13,16,25,38,38,42,45,47,49,58,65,67,69,70,72,73,74,75,80,80,85,87,88,90,91
06/10/2024,9,10,19,20,24,28,32,32,34,35,44,47,50,52,58,62,63,70,72,73,74,75,81,90,91,93,97
05/10/2024,0,3,6,7,15,15,16,17,24,26,30,30,34,40,44,50,52,71,72,75,80,80,81,81,83,86,87
04/10/2024,4,5,8,10,11,12,17,18,18,21,24,26,27,27,43,45,45,46,50,50,54,58,66,66,77,80,82
03/10/2024,1,2,8,10,16,17,23,23,27,32,33,36,47,50,56,58,61,61,67,68,68,72,73,82,88,94,96
02/10/2024,2,2,4,7,15,22,24,35,36,37,38,49,50,53,55,56,62,63,65,73,73,80,83,83,84,86,99
01/10/2024,9,12,13,17,20,26,29,36,37,37,43,49,51,52,56,58,60,60,63,64,66,66,72,79,79,85,93
30/09/2024,2,5,7,7,10,10,11,11,23,26,27,28,29,40,42,49,53,65,67,73,74,74,82,84,85,92,93
29/09/2024,10,12,13,16,17,22,22,27,29,35,37,39,40,40,49,59,62,66,67,76,77,82,86,86,91,93,96
28/09/2024,1,8,11,14,15,16,19,19,19,23,25,26,34,38,38,46,59,72,74,75,76,77,77,81,91,94,98
27/09/2024,3,5,10,11,14,16,16,17,18,22,27,27,41,44,50,51,52,59,61,64,72,74,76,80,85,89,93
26/09/2024,4,5,12,18,18,22,22,26,27,33,34,40,41,46,48,49,54,54,59,60,69,71,76,84,85,96,98
25/09/2024,0,0,4,7,10,13,28,30,35,36,36,38,41,43,47,47,58,60,69,69,84,86,88,88,89,90,90
24/09/2024,1,5,6,7,8,11,12,15,18,22,27,31,32,33,34,43,45,49,66,68,84,86,86,87,90,95,97
23/09/2024,11,11,13,16,18,26,28,28,32,48,50,52,55,66,68,69,71,76,85,85,85,87,89,89,90,90,95
22/09/2024,0,8,11,14,15,19,24,31,40,41,43,46,47,50,53,58,61,67,68,73,79,83,86,88,89,92,96
21/09/2024,14,15,17,21,23,24,29,35,36,36,39,44,44,44,46,49,54,55,59,70,70,87,89,91,92,94,98
20/09/2024,7,10,11,14,21,25,25,31,35,37,44,53,55,57,59,68,69,69,72,74,77,77,81,90,95,97,98
19/09/2024,3,5,6,9,13,24,25,26,32,35,38,42,43,47,54,55,58,61,75,85,87,89,90,92,98,98,99
18/09/2024,0,1,4,9,10,13,14,18,20,24,41,43,48,48,51,57,62,63,73,78,80,86,86,94,97,97,98
17/09/2024,6,13,27,29,35,36,41,51,53,57,63,64,65,65,66,66,70,75,78,79,80,81,87,93,94,95,97
16/09/2024,1,2,15,19,20,20,21,23,26,40,43,45,52,54,55,60,65,69,70,75,76,80,89,94,95,95,99
15/09/2024,4,19,19,19,24,27,31,38,38,39,43,59,64,68,69,71,73,78,81,85,87,89,90,90,98,99,99
14/09/2024,9,18,22,22,25,25,29,32,36,42,42,43,44,53,54,56,58,67,69,69,73,78,78,85,86,92,95
13/09/2024,1,2,3,11,13,26,28,30,30,35,36,37,39,40,44,53,57,64,67,69,75,85,86,86,87,93,97
12/09/2024,8,19,24,26,28,32,35,49,53,53,54,54,58,59,59,61,63,67,72,73,75,79,86,86,87,94,99
11/09/2024,5,5,11,16,23,25,33,38,40,41,42,42,43,47,49,58,63,69,72,74,77,84,88,90,97,97,98
10/09/2024,1,3,8,11,11,14,19,21,28,32,37,49,49,52,54,57,61,62,66,68,69,69,76,77,77,94,95
09/09/2024,1,5,9,9,15,16,18,21,22,24,24,24,25,32,36,39,51,54,56,70,72,78,81,87,87,96,99
08/09/2024,9,9,9,11,11,19,19,22,30,32,33,34,36,36,36,42,54,54,55,58,60,69,78,79,87,89,91
07/09/2024,3,7,10,11,13,22,24,29,35,36,43,44,45,45,47,47,50,55,56,61,64,66,74,75,76,86,87
06/09/2024,3,11,14,18,19,22,22,26,30,40,42,42,43,44,48,50,57,59,63,63,63,69,75,76,78,94,97
05/09/2024,1,2,3,6,15,22,29,30,31,45,45,52,57,57,57,67,72,72,74,75,88,93,96,97,98,99,99
04/09/2024,0,3,7,17,23,35,36,39,48,50,50,56,58,60,65,68,69,71,73,75,83,87,96,97,97,98,99
03/09/2024,1,9,11,15,16,18,22,23,24,29,32,32,33,37,42,43,46,47,60,61,62,63,66,69,78,89,97
02/09/2024,3,12,13,37,37,39,39,40,42,46,51,54,59,60,62,62,72,72,73,73,73,73,78,79,82,92,98
01/09/2024,0,1,2,5,9,25,28,29,30,31,34,39,45,50,50,50,56,61,61,62,69,76,76,78,82,90,96
31/08/2024,1,7,9,9,14,15,16,18,21,27,29,32,42,47,49,51,56,58,59,66,68,76,82,85,86,88,93
30/08/2024,7,9,11,14,16,17,29,30,38,41,42,47,53,54,55,63,65,70,72,74,76,91,93,94,95,96,98
29/08/2024,10,10,13,14,15,15,15,20,21,22,25,27,33,34,41,42,46,47,48,49,62,62,65,68,77,97,97
28/08/2024,4,6,10,12,13,15,18,20,23,24,26,35,43,45,49,51,52,53,54,55,60,72,78,79,81,82,83
27/08/2024,6,10,11,15,20,31,34,36,36,39,47,56,58,58,63,66,67,70,71,80,82,84,85,88,89,94,97
26/08/2024,0,3,4,5,21,26,31,32,34,38,38,63,64,64,65,66,69,72,73,81,82,83,83,87,94,95,99
